Entité;Jo;Match;Date;Heure;EQA_no;EQA_nom;EQB_no;EQB_nom;Set;Score;Total;Salle;Arb1;Arb2;
ACJEUNES;01;JFA001;2024-11-10;11:00;0699635;A.S.V.E.L.;0382203;CA VOLLEY BALL JALIOROMAIN; 0/2;11-25,9-25;20-50;GYMNASE FOURNIÈRE;AUBERT JEAN;BEKKARA MOHAMED;
ACJEUNES;01;JFA002;2024-11-10;00:00;0382203;CA VOLLEY BALL JALIOROMAIN;0634740;VOLLEY BALL CLUB CHAMALIERES; 0/2;26-28,22-25;48-53;GYMNASE FOURNIÈRE;BEKKARA MOHAMED;AUBERT JEAN;
ACJEUNES;01;JFA003;2024-11-10;00:00;0699635;A.S.V.E.L.;0634740;VOLLEY BALL CLUB CHAMALIERES; 0/2;13-25,11-25;24-50;GYMNASE FOURNIÈRE;AUBERT JEAN;BEKKARA MOHAMED;
ACJEUNES;01;JFB001;2024-11-10;11:00;0382205;PAYS VOIRONNAIS VOLLEY - PVV;0382201;GRENOBLE V.UNIVERSITE CLUB; 2/0;25-22,26-24;51-46;BEGHIN;KAFIZ MOHAND;REY JULIE;
ACJEUNES;01;JFB002;2024-11-10;00:00;0382201;GRENOBLE V.UNIVERSITE CLUB;0699603;ASUL LYON VOLLEY BALL; 2/0;25-10,25-15;50-25;BEGHIN;KAFIZ MOHAND;REY JULIE;
ACJEUNES;01;JFB003;2024-11-10;00:00;0382205;PAYS VOIRONNAIS VOLLEY - PVV;0699603;ASUL LYON VOLLEY BALL; 2/0;25-14,25-19;50-33;BEGHIN;REY JULIE;KAFIZ MOHAND;
ACJEUNES;01;JFC001;2024-11-10;11:00;0380027;VOLLEY LA TOUR DU PIN;0429687;CLUB ATHLETIQUE DE ST ETIENNE; 0/2;5-25,25-27;30-52;ROGER FRISON ROCHE;BESSEAU GUILLAUME;DREAN MAXIME;
ACJEUNES;01;JFC002;2024-11-10;00:00;0429687;CLUB ATHLETIQUE DE ST ETIENNE;0634293;RIOM VOLLEY-BALL; 2/0;25-4,25-6;50-10;ROGER FRISON ROCHE;DREAN MAXIME;BESSEAU GUILLAUME;
ACJEUNES;01;JFC003;2024-11-10;00:00;0380027;VOLLEY LA TOUR DU PIN;0634293;RIOM VOLLEY-BALL; 2/0;25-14,25-19;50-33;ROGER FRISON ROCHE;BESSEAU GUILLAUME;DREAN MAXIME;
ACJEUNES;01;JFD001;2024-11-10;10:00;0132348;MARSEILLE VOLLEY 13;0136761;ISTRES PROVENCE VOLLEY; 0/2;18-25,23-25;41-50;GYMNASE DE LA ROSE FUVEAU;ROSSELLO REMY;KRIKER NOA;
ACJEUNES;01;JFD002;2024-11-10;00:00;0136761;ISTRES PROVENCE VOLLEY;0061297;RACING CLUB DE CANNES; 0/2;14-25,21-25;35-50;GYMNASE DE LA ROSE FUVEAU;KRIKER NOA;GURRIET GILLES;
ACJEUNES;01;JFD003;2024-11-10;00:00;0132348;MARSEILLE VOLLEY 13;0061297;RACING CLUB DE CANNES; 0/2;13-25,13-25;26-50;GYMNASE DE LA ROSE FUVEAU;GURRIET GILLES;KRIKER NOA;
ACJEUNES;01;JFE001;2024-11-10;14:00;0849721;DETENTE VERTICALE VEDENAISE;0307732;NIMES VOLLEY-BALL; 1/2;24-26,25-21,10-15;59-62;GYMNASE PRADAYROL;KHELLAF FREDERIC;KRIKER SAMY;
ACJEUNES;01;JFE002;2024-11-10;00:00;0307732;NIMES VOLLEY-BALL;0138032;PAYS D'AIX VENELLES V.B.; 0/2;13-25,12-25;25-50;GYMNASE PRADAYROL;KRIKER SAMY;KHELLAF FREDERIC;
ACJEUNES;01;JFE003;2024-11-10;00:00;0849721;DETENTE VERTICALE VEDENAISE;0138032;PAYS D'AIX VENELLES V.B.; 0/2;6-25,8-25;14-50;GYMNASE PRADAYROL;KHELLAF FREDERIC;KRIKER SAMY;
ACJEUNES;01;JFF001;2024-11-10;11:00;0119381;M.J.C. COURSAN;0344036;AGDE VOLLEY BALL; 0/2;19-25,13-25;32-50;MICHEL BARRIERE;BERTRAND JOELLE;ROYO LINDA;
ACJEUNES;01;JFF002;2024-11-10;00:00;0344036;AGDE VOLLEY BALL;0819685;PUYLAURENS VOLLEY BALL; 0/2;23-25,22-25;45-50;MICHEL BARRIERE;ROYO LINDA;BERTRAND JOELLE;
ACJEUNES;01;JFF003;2024-11-10;00:00;0119381;M.J.C. COURSAN;0819685;PUYLAURENS VOLLEY BALL; 0/2;12-25,22-25;34-50;MICHEL BARRIERE;BERTRAND JOELLE;ROYO LINDA;
ACJEUNES;01;JFG001;2024-11-10;11:00;0340015;BEZIERS VOLLEY;0117968;VOLLEY-BALL GRUISSAN; 2/0;25-11,25-8;50-19;PALAIS DES SPORTS MEDITERRANEE;DUSSAUT REMY;BERNARD JACK-NICOLAS;
ACJEUNES;01;JFG002;2024-11-10;00:00;0117968;VOLLEY-BALL GRUISSAN;0344410;ASLJCROIX ARGENT MONTPELLIER; 2/1;11-25,27-25,15-10;53-60;PALAIS DES SPORTS MEDITERRANEE;DUSSAUT REMY;BERNARD JACK-NICOLAS;
ACJEUNES;01;JFG003;2024-11-10;00:00;0340015;BEZIERS VOLLEY;0344410;ASLJCROIX ARGENT MONTPELLIER; 2/0;25-14,25-15;50-29;PALAIS DES SPORTS MEDITERRANEE;BERNARD JACK-NICOLAS;DUSSAUT REMY;
ACJEUNES;01;JFH001;2024-11-10;11:00;0348496;AS.SP. V.B MAUGUIO;0345002;ASBAM MONTPELLIER; 1/2;25-21,24-26,14-16;63-63;GYMNASE DE L'ETANG DE L'OR;MOHAMED SAID;CASTEL JULES;
